name,created,source,address,rating,number_of_reviews,location_point,about,tags,main_photo_url,order_page,curated,is_free,price
Eigen + Art,2021-10-28 09:48:26.747069,GoogleMaps,"Auguststraße 26, 10117 Berlin, Germany",4.6,52,"('SRID=4326;POINT (13.397119799999999 52.5269196)',)","Contemporary & conceptual art gallery. Gallery in former school, hosting temporary exhibitions of international contemporary artists' work.",Art,https://lh5.googleusercontent.com/p/AF1QipPzcbgV8KHEmaVNhsLbW0jPw4FpGyu0AUvyyzkN=w480-h642-k-no,,False,True,
Academy of Arts,2021-10-28 09:48:28.347348,GoogleMaps,"Pariser Platz 4, 10117 Berlin, Germany",4.4,404,"('SRID=4326;POINT (13.3791771 52.5154912)',)","Art institute holding regular exhibits. Founded in 1696, this art institute promotes the advancement of international arts through exhibits.",Art,https://lh5.googleusercontent.com/p/AF1QipO2wkrqjs2urDhZJWLPj6zqfGwqiht3d0Td72SU=w822-h552-k-no,,False,True,
Berlinische Galerie,2021-10-28 09:48:28.347348,GoogleMaps,"Alte Jakobstraße 124-128, 10969 Berlin, Germany",4.5,2987,"('SRID=4326;POINT (13.3981579 52.5039563)',)","Berlin art displayed in former warehouse. Modern museum for fine art, photography & architecture created in Berlin from 1870 to the present.",Art,https://lh5.googleusercontent.com/p/AF1QipOnNsx_lCZXea--BxgqeTim8k0NkE5qqoLAYQ_T=w828-h552-k-no,,False,True,
Daimler Contemporary Berlin,2021-10-28 09:48:31.724832,GoogleMaps,"Alte Potsdamer Str. 5, 10785 Berlin, Germany",4.4,141,"('SRID=4326;POINT (13.374775999999999 52.5084739)',)",,Art,https://lh5.googleusercontent.com/p/AF1QipOri6LVjvV8mC5Szq21L7lg96gPPOZEM_rqYHZj=w978-h552-k-no,,False,True,
Urban Spree,2021-10-28 09:48:31.724832,GoogleMaps,"Revaler Str. 99, 10245 Berlin, Germany",4.4,2222,"('SRID=4326;POINT (13.4516618 52.5077339)',)","Art, music & dining next to train tracks. Trackside industrial complex hosting art galleries, dance clubs, food stands & a beer garden.",Art,https://lh5.googleusercontent.com/p/AF1QipM_bs7m6vgqBuT2WxtUAWHIP88gRO2Er2cdvR7k=w828-h552-k-no,,False,True,
KW Institute for Contemporary Art,2021-10-28 09:48:31.724832,GoogleMaps,"Auguststraße 69, 10117 Berlin, Germany",4.2,751,"('SRID=4326;POINT (13.3949752 52.5267846)',)","Temporary exhibits of modern artworks. Large exhibition space with artists' studios, a cafe & an innovative policy of ever-changing works.",Art,https://lh5.googleusercontent.com/p/AF1QipNmeQ6RLsTK4e1MZAf-CjWmydYe31sSwjgpuieS=w828-h552-k-no,,False,True,
Boros Foundation,2021-10-28 09:48:31.724832,GoogleMaps,"Reinhardtstraße 20, 10117 Berlin, Germany",4.4,928,"('SRID=4326;POINT (13.384125 52.5234611)',)","Private collection of contemporary art. Contemporary art collection in a former bunker, with international artists' work from 1990s onward.",Art,https://lh5.googleusercontent.com/p/AF1QipOpiK5SSivAufUuz2NqQHUgJirGCusTtRojZ9VM=w732-h552-k-no,,False,True,
Contemporary Fine Arts,2021-10-28 09:48:31.724832,GoogleMaps,"Grolmanstraße 32/33, 10623 Berlin, Germany",4.4,78,"('SRID=4326;POINT (13.3238603 52.5037775)',)",Contemporary art displays in urban space. Changing exhibits of works by well-known international contemporary artists in a minimalist space.,Art,https://lh5.googleusercontent.com/p/AF1QipP1PSI3f3Z3frVGbHE3E4ct7beCcNAjt79D5ELu=w480-h852-k-no,,False,True,
Contemporary Fine Arts,2021-10-28 09:48:33.758141,GoogleMaps,"Grolmanstraße 32/33, 10623 Berlin, Germany",4.4,78,"('SRID=4326;POINT (13.3238603 52.5037775)',)",Contemporary art displays in urban space. Changing exhibits of works by well-known international contemporary artists in a minimalist space.,Art,https://lh5.googleusercontent.com/p/AF1QipP1PSI3f3Z3frVGbHE3E4ct7beCcNAjt79D5ELu=w480-h852-k-no,,False,True,
Sprüth Magers,2021-10-28 09:48:33.766078,GoogleMaps,"Oranienburger Str. 18, 10178 Berlin, Germany",4.6,75,"('SRID=4326;POINT (13.39714 52.52413)',)","Contemporay art in a spacious gallery. Stark, airy gallery with rotating exhibitions focusing largely on contemporary German & US artists.",Art,https://lh5.googleusercontent.com/p/AF1QipOe8Y9Mnjhbwi_7y6voF-2h3u-HRW6jMdfdVCM1=w732-h552-k-no,,False,True,
"LUMAS Galerie Berlin-Mitte / zusätzliche Beratung per Telefon, E-Mail oder Chat",2021-10-28 09:48:34.740996,GoogleMaps,"Rosenthaler Straße 40/41 Die Hackeschen Höfe, Hof, II, 10178 Berlin, Germany",4.6,147,"('SRID=4326;POINT (13.4023995 52.524018299999994)',)",,Art,https://lh5.googleusercontent.com/p/AF1QipODhqFD84GJx2Y0iF68Z37fp8HEnKAMlBTIXQgJ=w780-h552-k-no,,False,True,
